Lough,RepresentativeMonitoringPoints,SampleDate,Species,Category,EColi,CurrentStatus,Comments
Belfast,RMP4 - B12 - AFFNI54,2020-01-20,Mussels,A,130,Open,
Belfast,RMP4 - B12 - AFFNI54,2020-02-17,Mussels,C,7900,Open,Outwith investigatory email sent 20/02/2020
Belfast,RMP4 - B12 - AFFNI54,2020-03-16,Mussels,A,130,Open,
Belfast,RMP4 - B12 - AFFNI54,2020-04-19,Mussels,A,<18,Open,
Belfast,RMP4 - B12 - AFFNI54,,Mussels,,,Open,
Belfast,RMP4 - B12 - AFFNI54,,Mussels,,,Open,
Belfast,RMP4 - B12 - AFFNI54,,Mussels,,,Open,
Belfast,RMP4 - B12 - AFFNI54,,Mussels,,,Open,
Belfast,RMP4 - B12 - AFFNI54,,Mussels,,,Open,
Belfast,RMP4 - B12 - AFFNI54,,Mussels,,,Open,
Belfast,RMP4 - B12 - AFFNI54,,Mussels,,,Open,
Belfast,RMP4 - B12 - AFFNI54,,Mussels,,,Open,
Belfast,RMP4 - B12 - AFFNI54,,Mussels,,,Open,
Belfast,RMP4 - B12 - AFFNI54,,Mussels,,,Open,
Belfast,RMP4 - B12 - AFFNI54,,Mussels,,,Open,
Belfast,RMP5 - B20 - AFFNI53,2020-01-06,Mussels,C,4900,Open,Outwith investigatory email sent 09/01/2020
Belfast,RMP5 - B20 - AFFNI53,2020-02-02,Mussels,A,110,Open,
Belfast,RMP5 - B20 - AFFNI53,2020-03-02,Mussels,B,1100,Open,
Belfast,RMP5 - B20 - AFFNI53,2020-04-07,Mussels,A,45,Open,
Belfast,RMP5 - B20 - AFFNI53,2020-05-04,Mussels,A,45,Open,
Belfast,RMP5 - B20 - AFFNI53,,Mussels,,,Open,
Belfast,RMP5 - B20 - AFFNI53,,Mussels,,,Open,
Belfast,RMP5 - B20 - AFFNI53,,Mussels,,,Open,
Belfast,RMP5 - B20 - AFFNI53,,Mussels,,,Open,
Belfast,RMP5 - B20 - AFFNI53,,Mussels,,,Open,
Belfast,RMP5 - B20 - AFFNI53,,Mussels,,,Open,
Belfast,RMP5 - B20 - AFFNI53,,Mussels,,,Open,
Belfast,RMP5 - B20 - AFFNI53,,Mussels,,,Open,
Belfast,RMP5 - B20 - AFFNI53,,Mussels,,,Open,
Belfast,RMP5 - B20 - AFFNI53,,Mussels,,,Open,
Belfast,RMP5 - B20 - AFFNI53,,Mussels,,,Open,
Belfast,RMP6 - B24 - AFFNI56B,2020-01-20,Mussels,B,780,Open,
Belfast,RMP6 - B24 - AFFNI56B,2020-02-17,Mussels,C,7900,Open,Outwith investigatory email sent 20/02/2020
